"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FL8","mgi_symbol","chromosome_name"
"ENSMUSG00000091668",1.04236047672595,-0.839884516388993,1.6002572310138,-0.52484344398613,0.599692027910336,NA,0.790694531254275,0.987725792918487,"Gm9307","14"
"ENSMUSG00000091673",1.14821817287798,-1.89695002420851,1.9893372601585,-0.95355878673753,0.340307025747064,NA,0.330989051876233,1.13709516732836,"Gm17525","4"
"ENSMUSG00000091679",1.22657442632944,-3.38050587192587,6.71339668625667,-0.503546271717604,0.614580256543201,NA,0.97224002010115,4.08981002927047,"Vmn2r96","17"
"ENSMUSG00000091683",0.0804786431562621,-1.24506825798405,6.78894114874224,-0.183396531315449,0.854486897321078,NA,0,0.531888602457103,"Gm17357","10"
"ENSMUSG00000091684",0.0603886880981751,1.21342913417484,6.80625446325448,0.178281482234596,0.858501920877551,NA,0.330989051876233,0,"Gm17358","17"
"ENSMUSG00000091685",0.0425510881965682,0,6.80587055948926,0,1,NA,0,0,"Gm17359","3"
"ENSMUSG00000091686",0.0754589481424348,1.91237638425816,6.78866727327393,0.281701298248469,0.7781725589311,NA,0.486120010050575,0,"4930471C04Rik","14"
"ENSMUSG00000091687",0.0564614276869135,-0.743863974164281,6.79447858879363,-0.109480656159718,0.912821263684725,NA,0,0.265944301228551,"Gm4983","12"
"ENSMUSG00000091695",0.793021259914354,1.95045147101088,2.54319657664098,0.766929103682188,0.443123668694124,NA,1.09526905245798,0,"Gm17669","18"
"ENSMUSG00000091696",0.711747887326294,0.945322471997319,2.34377039717432,0.403334077918645,0.686702475398417,NA,0.817109061926808,0.467679822852302,"Gm17670","14"
"ENSMUSG00000091710",1.9242352765772,1.09531785658532,1.06892309528642,1.0246928534104,0.305508136190233,NA,3.3092236283581,1.51961439537559,"4930426I24Rik","12"
"ENSMUSG00000091712",0.0428793949688404,0,6.80625493902526,0,1,NA,0,0,"Sec14l5","16"
"ENSMUSG00000091716",0.137453071433652,-1.9763645122372,6.76606865196459,-0.292099387975223,0.770210634615079,NA,0,0.520045970066185,"Gm17676","3"
"ENSMUSG00000091724",0.596919842382508,-0.596417066255031,3.04297472000574,-0.19599803519035,0.844611703863465,NA,0,0.201735521623751,"A430010J10Rik","6"
"ENSMUSG00000091728",1.12771125815526,-0.825607412799163,1.46288524860153,-0.564369224167391,0.572502879126016,NA,0.817109061926808,1.68855546940816,"Gm8705","15"
"ENSMUSG00000091730",0.221175974071464,0,6.80611264446757,0,1,NA,0,0,"Gm17230","10"
"ENSMUSG00000091732",0.0536938942747546,0,6.8062513081106,0,1,NA,0,0,"Gm17541","12"
