"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000024927",5507.63109118934,-0.572566300033719,0.118067355114715,-4.84948866244534,1.23780143822732e-06,6.59589555830664e-06,5656.13262227539,8583.11590994146,"Rela","19"
"ENSMUSG00000030677",199.363311393882,-2.10828083839405,0.434817473510592,-4.84865711898004,1.24300058326313e-06,6.62146850775286e-06,67.2521601121215,241.774918495931,"Kif22","7"
"ENSMUSG00000020484",7213.01034606465,0.638468088050513,0.131684737323248,4.84845929018531,1.24424057859499e-06,6.62594138234418e-06,11705.6867638567,7482.23923719657,"Xbp1","11"
"ENSMUSG00000025584",1419.6934414541,-0.883695929604248,0.182280027509905,-4.84801292646409,1.24704276948024e-06,6.63872784743244e-06,1110.37176520104,2071.03292935449,"Pde8a","7"
"ENSMUSG00000024442",572.424634250977,-0.521193078087932,0.107514354764649,-4.84766038199115,1.24926027008623e-06,6.64839444700873e-06,348.655374734734,500.195822804865,"0610009O20Rik","18"
"ENSMUSG00000078783",5.98547470787654,5.93066670345358,1.22368574115996,4.84656027603276,1.25620433669652e-06,6.68320089253104e-06,40.0158307806071,0.743619650420608,"Gm9733","3"
"ENSMUSG00000026433",1162.41918106188,1.03564242747697,0.213706846809838,4.84608913067962,1.25918963364148e-06,6.69693047120824e-06,1830.55437549298,877.865914764693,"Rab7l1","1"
"ENSMUSG00000034442",400.501282572317,0.8786519218056,0.181317498819934,4.84593008134416,1.26019895061601e-06,6.70014546471106e-06,590.29187958419,327.785179184837,"Trmt5","12"
"ENSMUSG00000032040",531.016404412224,-0.72769432088156,0.150191313037818,-4.84511591358369,1.26537780787952e-06,6.72551962049259e-06,273.554045832464,460.496072030273,"Dcps","9"
"ENSMUSG00000022324",77.8472225855172,-1.95428322612357,0.40336649353942,-4.844931984745,1.26655059651328e-06,6.7274322602347e-06,71.5856070317834,248.415437980532,"Matn2","15"
